CompID,SiteID,DP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRcoil,Cryoprobe,MRsequence,MRbrainregion,MRVoxSize,MRvoxelvolume,MRaverages,MRsoftwareversion,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshim,LW,LW_hz,SNR,SNR_LW_Ratio,CompCheck
compMRS048,S05,DP06,sub-08,Mouse,C57BL-6J,93,M,22.8,Bruker,7,"cryoprobe",TRUE,sLASER,Rhippocampus,3.1 x 0.9 x 1.4,3.906,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0210807762747671,6.33079561402771,127.073690598304,6027.94171059091,pass
compMRS049,S05,DP07,sub-01,Mouse,C57BL-6J,144,M,27.7,Bruker,7,"cryoprobe",TRUE,sLASER,Rstriatum,1.3 x 1.3 x1.4,2.366,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0250791358287268,7.53154945227195,46.4981850365533,1854.05850321573,pass
compMRS050,S05,DP07,sub-02,Mouse,C57BL-6J,144,M,27.2,Bruker,7,"cryoprobe",TRUE,sLASER,Rstriatum,1.3 x 1.3 x1.4,2.366,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.02399111571407,7.20480452077811,50.827948788441,2118.61546558387,pass
compMRS051,S05,DP07,sub-03,Mouse,C57BL-6J,146,M,29.5,Bruker,7,"cryoprobe",TRUE,sLASER,Rstriatum,1.3 x 1.3 x1.4,2.366,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0244085311650832,7.33015959294313,47.3739535703266,1940.876870055,pass
compMRS052,S05,DP07,sub-04,Mouse,C57BL-6J,146,M,29,Bruker,7,"cryoprobe",TRUE,sLASER,Rstriatum,1.3 x 1.3 x1.4,2.366,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0226711688879227,6.80840915338999,45.6679112073289,2014.360681317,pass
compMRS053,S05,DP07,sub-05,Mouse,C57BL-6J,146,M,30,Bruker,7,"cryoprobe",TRUE,sLASER,Rstriatum,1.3 x 1.3 x1.4,2.366,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0365853306012186,10.986984142883,40.2359870884283,1099.78470679962,pass
compMRS054,S05,DP07,sub-06,Mouse,C57BL-6J,147,M,29.5,Bruker,7,"cryoprobe",TRUE,sLASER,Rstriatum,1.3 x 1.3 x1.4,2.366,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.036491672975188,10.9588600553427,36.9770268677974,1013.30040124331,pass
compMRS055,S05,DP07,sub-07,Mouse,C57BL-6J,100,M,20,Bruker,7,"cryoprobe",TRUE,sLASER,Rstriatum,1.3 x 1.3 x1.4,2.366,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0348897909429332,10.4777998983833,40.2032519994104,1152.29271694887,pass
compMRS056,S05,DP07,sub-08,Mouse,C57BL-6J,100,M,22.8,Bruker,7,"cryoprobe",TRUE,sLASER,Rstriatum,1.3 x 1.3 x1.4,2.366,256,PV360 v3.5,6060.6,2048,20.7,4000,MAPSHIM,0.0269574885032988,8.0956396702316,46.0900916936987,1709.73240656519,pass
compMRS057,S05,DP08,sub-01,Rat,Wistar,104,M,505,Bruker,7,"Tx:  70mm volume coil.  Rx:  4ch array, 33mm diameter elements",FALSE,sLASER,Rhippocampus,3.8 x 2.3 x 1.8,15.732,256,PV360 v3.3,6060.6,2048,20.7,4000,MAPSHIM,0.0323388506162308,9.71173739279353,58.1554865931975,1798.31643626844,pass
compMRS058,S05,DP08,sub-02,Rat,Wistar,104,M,570,Bruker,7,"Tx:  70mm volume coil.  Rx:  4ch array, 33mm diameter elements",FALSE,sLASER,Rhippocampus,3.8 x 2.5 x 1.8,17.1,256,PV360 v3.3,6060.6,2048,20.7,4000,MAPSHIM,0.0186634624852961,5.60485742109701,66.6377468950485,3570.49218212047,pass
