CompID,SiteID,DP,SubjectInDP,AnimalID,AnimalSpecies,AnimalStrain,AnimalAge,AnimalSex,AnimalWeight,MRvendor,MRfield,MRsequence,MRbrainregion,MRvoxelvolume,MRaverages,MRsoftwareversion,MRcoildetail,MRSsw,MRSnpts,MRSTE,MRSTR,MRSshimmethod,LW,SNR,SNR_LW_Ratio,CompCheck
"compMRS052","S05","DP07",4,"sub-04","Mouse","C57BL-6J",146,"M",29,"Bruker",7,"sLASER","Rstriatum",2.366,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",9.01666143771868,46.1455785479904,5.11781204903106,"pass"
"compMRS053","S05","DP07",5,"sub-05","Mouse","C57BL-6J",146,"M",30,"Bruker",7,"sLASER","Rstriatum",2.366,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",17.0975310507491,39.7805887690988,2.32668615433548,"pass"
"compMRS054","S05","DP07",6,"sub-06","Mouse","C57BL-6J",147,"M",29.5,"Bruker",7,"sLASER","Rstriatum",2.366,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",37.7161263761934,32.0735453822704,0.8503934116234,"pass"
"compMRS055","S05","DP07",7,"sub-07","Mouse","C57BL-6J",100,"M",20,"Bruker",7,"sLASER","Rstriatum",2.366,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",15.2560710396399,32.0178922178412,2.09869842206745,"pass"
"compMRS056","S05","DP07",8,"sub-08","Mouse","C57BL-6J",100,"M",22.8,"Bruker",7,"sLASER","Rstriatum",2.366,256,"PV360 v3.5","",6060.6,2048,20.7,4000,"MAPSHIM",14.6547865463322,42.9693528587394,2.93210363200368,"pass"
"compMRS057","S05","DP08",1,"sub-01","Rat","Wistar",104,"M",505,"Bruker",7,"sLASER","Rhippocampus",15.732,256,"PV360 v3.3","Rx: 4ch array",6060.6,2048,20.7,4000,"MAPSHIM",14.1018036875352,53.009295629726,3.75904365174092,"pass"
"compMRS058","S05","DP08",2,"sub-02","Rat","Wistar",104,"M",570,"Bruker",7,"sLASER","Rhippocampus",17.1,256,"PV360 v3.3","Rx: 4ch array",6060.6,2048,20.7,4000,"MAPSHIM",8.58728246171883,51.259347107474,5.96921637735599,"pass"
"compMRS059","S05","DP08",3,"sub-03","Rat","Wistar",100,"M",548,"Bruker",7,"sLASER","Rhippocampus",15.732,256,"PV360 v3.3","Rx: 4ch array",6060.6,2048,20.7,4000,"MAPSHIM",19.2978922277592,37.9847279042787,1.96833558069307,"pass"
"compMRS060","S05","DP08",4,"sub-04","Rat","Wistar",100,"M",549,"Bruker",7,"sLASER","Rhippocampus",15.732,256,"PV360 v3.3","Rx: 4ch array",6060.6,2048,20.7,4000,"MAPSHIM",13.6299732740559,54.9983340966116,4.03510212314933,"pass"
"compMRS061","S05","DP08",5,"sub-05","Rat","Wistar",102,"M",511,"Bruker",7,"sLASER","Rhippocampus",17.1,256,"PV360 v3.3","Rx: 4ch array",6060.6,2048,20.7,4000,"MAPSHIM",15.8410106975461,65.6040047354246,4.14140271653167,"pass"
"compMRS062","S05","DP08",6,"sub-06","Rat","Wistar",104,"M",488,"Bruker",7,"sLASER","Rhippocampus",17.1,256,"PV360 v3.3","Rx: 4ch array",6060.6,2048,20.7,4000,"MAPSHIM",6.54282610209524,130.957342276526,20.0154092792698,"pass"
"compMRS063","S05","DP08",7,"sub-07","Rat","Wistar",94,"M",488,"Bruker",7,"sLASER","Rhippocampus",17.1,256,"PV360 v3.3","Rx: 4ch array",6060.6,2048,20.7,4000,"MAPSHIM",6.14250958179443,99.6940582737303,16.2301835994217,"pass"
"compMRS064","S05","DP08",8,"sub-08","Rat","Wistar",97,"M",518,"Bruker",7,"sLASER","Rhippocampus",17.1,256,"PV360 v3.3","Rx: 4ch array",6060.6,2048,20.7,4000,"MAPSHIM",4.24066342173859,131.270946032331,30.955285288478,"pass"
"compMRS065","S03","DP09",1,"sub-01","Rat","Fischer-344",558,"M",500,"Bruker",9.4,"PRESS","Rhippocampus",12,256,"PV7.0.0","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.61,2500,"MAPSHIM",11.600006881707,54.5388795378594,4.70162475712545,"pass"
"compMRS066","S03","DP09",2,"sub-02","Rat","Fischer-344",547,"M",505,"Bruker",9.4,"PRESS","Rhippocampus",12,256,"PV7.0.0","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.61,2500,"MAPSHIM",9.21777873097951,61.6800493999764,6.69142221787983,"pass"
"compMRS067","S03","DP09",3,"sub-03","Rat","Fischer-344",539,"F",325,"Bruker",9.4,"PRESS","Rhippocampus",12,256,"PV7.0.0","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.61,2500,"MAPSHIM",8.93589645328112,52.697585334067,5.89729140322763,"pass"
"compMRS068","S03","DP09",4,"sub-04","Rat","Fischer-344",531,"F",307,"Bruker",9.4,"PRESS","Rhippocampus",12,256,"PV7.0.0","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.61,2500,"MAPSHIM",28.2253433376908,35.7461579206211,1.26645608852125,"pass"
"compMRS069","S03","DP09",5,"sub-05","Rat","Fischer-344",532,"F",305,"Bruker",9.4,"PRESS","Rhippocampus",12,256,"PV7.0.0","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.61,2500,"MAPSHIM",11.9268273578077,50.0959040156236,4.20027074365499,"pass"
"compMRS070","S03","DP09",6,"sub-06","Rat","Fischer-344",532,"F",308,"Bruker",9.4,"PRESS","Rhippocampus",12,256,"PV7.0.0","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.61,2500,"MAPSHIM",59.4233221534025,24.4481806603381,0.411423996073875,"pass"
"compMRS071","S03","DP09",7,"sub-07","Rat","Fischer-344",561,"M",518,"Bruker",9.4,"PRESS","Rhippocampus",12,256,"PV7.0.0","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.61,2500,"MAPSHIM",9.69961169478674,45.331288977655,4.67351584827043,"pass"
"compMRS072","S03","DP09",8,"sub-08","Rat","Fischer-344",561,"M",514,"Bruker",9.4,"PRESS","Rhippocampus",12,256,"PV7.0.0","Tx: 86mm volume coil. Rx: 4ch array",4401.4,2048,8.61,2500,"MAPSHIM",30.7131986623647,22.2351142608196,0.723959575336127,"pass"
